Date,Price,Volume
2013-11-25,4.38,3660500
2013-11-25,4.38,3461500
2013-11-26,4.41,3461500
2013-11-28,4.41,3442500
2013-11-29,4.36,4020000
2013-12-02,4.33,3442500
2013-12-02,4.36,3660500
2013-12-03,4.47,3442500
2013-12-05,4.49,3442500
2013-12-06,4.7,4020000
2013-12-09,4.65,3660500
2013-12-09,4.71,3442500
2013-12-10,4.8,3442500
2013-12-12,4.77,3442500
2013-12-13,4.84,3670500
2013-12-16,4.71,3442500
2013-12-16,4.69,3660500
2013-12-17,4.7,3999000
2014-01-07,4.65,4018500
2014-01-08,4.69,4445000
2014-01-09,4.56,4018500
2014-01-10,4.45,4600000
2014-01-13,4.52,4018500
2014-01-14,4.73,4018500
2014-01-16,5.01,4018500
2014-01-17,5.04,4600000
2014-01-20,5.05,4018500
2014-01-21,4.93,4018500
2014-01-23,5.02,4018500
2014-01-24,4.97,4600000
2014-01-27,5.34,4018500
2014-01-28,5.47,4018500
2014-01-30,5.55,4018500
2014-01-31,5.6,4600000
2014-02-03,5.48,4018500
2014-02-04,5.93,4018500
2014-02-05,5.97,4445000
2014-02-06,6.01,4018500
2014-02-07,6.45,4600000
2014-02-10,6.34,4018500
2014-02-11,6.3,4018500
2014-02-13,6.21,4018500
2014-02-14,6.31,4600000
2014-02-17,6.7,4018500
2014-02-18,6.74,4018500
2014-02-20,6.92,4018500
2014-02-21,6.85,4600000
2014-02-24,7.1,4018500
2014-02-25,6.85,4018500
2014-02-27,6.47,4018500
2014-02-28,6.83,4600000
2014-03-03,6.97,4018500
2014-03-04,6.65,4018500
2014-03-05,6.89,4445000
2014-03-06,6.71,4018500
2014-03-07,6.72,4600000
2014-03-10,6.93,4018500
2014-03-11,6.81,4018500
2014-03-13,6.51,4018500
2014-03-14,6.19,4600000
2014-03-17,6.15,1927500
2014-03-18,6.0,1927500
2014-03-20,6.0,1927500
2014-03-21,6.1,2352000
2014-03-24,6.08,1927500
2014-03-25,5.8,1927500
2014-03-27,5.35,1927500
2014-03-28,5.1,2352000
2014-03-31,4.17,1927500
2014-04-01,4.9,1927500
2014-04-03,4.6,1927500
2014-04-04,4.75,2352000
2014-04-07,4.72,1927500
2014-04-08,5.03,1927500
2014-04-10,5.0,1927500
2014-04-11,5.26,2352000
2014-04-14,5.3,1927500
2014-04-15,5.23,1927500
2014-04-17,5.46,1927500
2014-04-22,5.62,1927500
2014-04-24,5.77,1927500
2014-04-25,5.52,2352000
2014-04-28,5.21,1927500
2014-04-29,5.39,1927500
2014-05-02,5.28,2352000
2014-05-05,5.03,1927500
2014-05-06,5.25,1927500
2014-05-08,5.09,1927500
2014-05-09,5.1,2352000
2014-05-12,5.28,1873000
2014-05-13,5.34,1873000
2014-05-15,4.75,1873000
2014-05-16,4.72,2352000
2014-05-19,4.6,1873000
2014-05-20,4.59,1873000
2014-05-22,5.23,1873000
2014-05-23,5.08,2352000
2014-05-26,4.98,1873000
2014-05-27,5.05,1873000
2014-05-30,5.1,2352000
2014-06-02,4.94,1873000
2014-06-03,5.19,1873000
2014-06-05,5.5,1873000
2014-06-06,5.41,2352000
2014-06-10,5.45,1873000
2014-06-12,5.4,1873000
2014-06-13,5.63,2352000
2014-06-16,5.68,1873000
2014-06-17,5.55,1873000
2014-06-19,5.6,1873000
2014-06-20,5.56,2352000
2014-06-23,5.64,1873000
2014-06-24,5.84,1873000
2014-06-26,5.77,1873000
2014-06-27,5.7,2352000
2014-06-30,5.82,1873000
2014-07-01,5.8,1873000
2014-07-03,5.97,1873000
2014-07-04,5.91,2352000
2014-07-07,5.5,1873000
2014-07-08,5.6,1873000
2014-07-10,5.72,1873000
2014-07-11,5.64,2352000
2014-07-14,5.7,1873000
2014-07-15,5.88,1873000
2014-07-17,6.07,1873000
2014-07-18,6.0,2352000
2014-07-21,6.02,1873000
2014-07-22,6.1,1873000
2014-07-24,6.1,1873000
2014-07-25,5.99,2352000
2014-07-28,6.05,1873000
2014-07-29,6.1,1873000
2014-07-31,6.11,1873000
2014-08-01,6.29,1176000
2014-08-04,6.27,934000
2014-08-05,6.17,934000
2014-08-07,6.2,934000
2014-08-08,5.93,1176000
2014-08-11,5.95,934000
2014-08-12,6.07,934000
2014-08-14,6.22,934000
2014-08-15,6.18,1176000
2014-08-18,6.34,934000
2014-08-19,6.28,934000
2014-08-21,6.43,934000
2014-08-22,6.34,1176000
